Rk,Season,Lg,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
29,1990-91,NBA,27.2,6-7,209,1107,241.8,41.4,87.2,2.3,7.1,21.3,27.9,14.0,29.3,43.3,24.7,8.6,5.3,16.0,23.2,106.3,.474,.320,.765,97.8,.487,13.9,32.3,.245,107.9
30,1989-90,NBA,27.1,6-7,208,1107,241.5,41.5,87.2,2.2,6.6,21.8,28.5,13.8,29.3,43.1,24.9,8.5,5.1,16.1,23.3,107.0,.476,.331,.764,98.3,.489,13.9,32.1,.250,108.1
31,1988-89,NBA,26.9,6-7,208,1025,241.5,42.5,89.0,2.1,6.6,22.1,28.8,14.5,29.4,43.9,25.6,9.1,5.3,17.2,23.7,109.2,.477,.323,.768,100.6,.489,14.5,33.0,.249,107.8
32,1987-88,NBA,26.9,6-7,209,943,241.3,42.1,87.7,1.6,5.0,22.3,29.1,14.2,29.2,43.4,25.8,8.5,5.4,16.7,24.1,108.2,.480,.316,.766,99.6,.489,14.3,32.8,.254,108.0
33,1986-87,NBA,26.6,6-7,209,943,241.6,42.6,88.8,1.4,4.7,23.2,30.5,14.7,29.3,44.0,26.0,8.6,5.5,17.0,24.5,109.9,.480,.301,.763,100.8,.488,14.3,33.4,.262,108.3
34,1985-86,NBA,26.8,6-7,208,943,241.6,43.2,88.6,0.9,3.3,22.9,30.3,14.1,29.4,43.6,26.0,8.8,5.3,17.8,25.2,110.2,.487,.282,.756,102.1,.493,14.9,32.4,.258,107.2
35,1984-85,NBA,26.4,6-7,207,943,241.4,43.8,89.1,0.9,3.1,22.4,29.4,14.3,29.2,43.5,26.3,8.5,5.3,17.9,24.9,110.8,.491,.282,.764,102.1,.496,14.9,32.9,.252,107.9
36,1983-84,NBA,26.4,6-7,206,943,242.0,43.5,88.4,0.6,2.4,22.6,29.7,14.2,28.8,43.0,26.2,8.5,5.3,17.9,25.8,110.1,.492,.250,.760,101.4,.495,15.0,33.0,.255,107.6
37,1982-83,NBA,26.1,6-7,205,943,241.3,43.5,89.7,0.5,2.3,20.9,28.3,14.8,29.6,44.5,25.9,8.9,5.6,19.1,25.6,108.5,.485,.238,.740,103.1,.488,15.8,33.4,.233,104.7
38,1981-82,NBA,26.2,6-7,205,943,241.6,43.3,88.2,0.6,2.3,21.3,28.6,14.3,29.1,43.5,25.2,8.5,5.4,17.7,26.2,108.6,.491,.262,.746,100.9,.495,15.0,33.0,.241,106.9
39,1980-81,NBA,26.2,6-7,205,943,241.4,43.0,88.4,0.5,2.0,21.7,28.9,14.5,28.9,43.5,25.5,9.0,5.3,18.7,25.1,108.1,.486,.245,.751,101.8,.489,15.6,33.5,.245,105.5
40,1979-80,NBA,26.4,6-6,204,902,241.8,43.6,90.6,0.8,2.8,21.3,27.8,15.1,29.9,44.9,25.8,9.4,5.3,18.9,24.4,109.3,.481,.280,.764,103.1,.486,15.5,33.5,.235,105.3
